CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,TenureByAge
630,0,0,43,9,0.0,2,1,1,34338.04,0,0.20930232558139536
680,0,0,31,1,0.0,2,1,1,3148.2,0,0.03225806451612903
777,2,1,37,10,121532.17,2,1,1,73464.88,0,0.2702702702702703
773,0,1,50,4,0.0,2,1,0,129372.94,0,0.08
678,0,1,41,9,0.0,1,0,0,13160.03,0,0.21951219512195122
572,0,1,39,2,0.0,2,1,1,555.28,0,0.05128205128205128
720,1,0,33,6,97188.62,1,0,0,91881.29,0,0.18181818181818182
450,0,0,29,7,117199.8,1,1,1,43480.63,0,0.2413793103448276
649,2,0,24,7,101195.23,1,0,0,133091.32,0,0.2916666666666667
755,0,0,41,6,104817.41,1,1,0,126013.58,1,0.14634146341463414
637,0,0,40,2,133463.1,1,0,1,93165.34,0,0.05
493,0,1,33,8,90791.69,1,1,1,59659.53,0,0.24242424242424243
474,0,0,37,3,98431.37,1,0,0,75698.44,0,0.08108108108108109
717,0,0,53,6,0.0,2,0,1,97614.87,0,0.11320754716981132
798,2,1,29,8,80204.11,2,1,0,70223.22,0,0.27586206896551724
681,0,0,38,6,153722.47,1,1,0,101319.76,0,0.15789473684210525
656,1,0,69,6,163975.09,1,1,1,36108.5,0,0.08695652173913043
575,1,1,30,8,0.0,2,1,0,185341.63,0,0.26666666666666666
688,1,1,46,3,0.0,2,0,1,104902.68,0,0.06521739130434782
663,2,1,46,2,141726.88,1,1,1,58257.23,0,0.043478260869565216
540,1,0,67,1,88382.01,1,0,1,59457.0,0,0.014925373134328358
727,0,0,35,5,136364.46,1,0,0,142754.71,0,0.14285714285714285
762,0,0,28,2,0.0,2,1,0,167909.52,0,0.07142857142857142
603,1,1,42,8,91611.12,1,0,0,144675.3,1,0.19047619047619047
630,2,1,25,7,79656.81,1,1,0,93524.22,0,0.28
785,0,0,55,5,0.0,2,1,1,7008.65,0,0.09090909090909091
663,0,0,26,5,141462.13,1,1,0,440.2,0,0.19230769230769232
538,0,0,31,1,0.0,2,1,0,1375.46,0,0.03225806451612903
685,2,1,30,4,84958.6,2,0,1,194343.72,0,0.13333333333333333
504,2,0,56,9,104217.3,1,0,0,55857.48,1,0.16071428571428573
642,0,0,26,1,138023.79,2,0,1,117060.2,0,0.038461538461538464
503,2,0,30,10,136622.55,2,0,0,47310.24,0,0.3333333333333333
629,0,1,40,6,0.0,2,1,1,139356.3,0,0.15
489,2,0,38,2,126444.08,2,1,1,82662.73,0,0.05263157894736842
633,2,0,50,7,88302.65,1,1,1,195937.16,0,0.14
608,2,0,26,1,106648.98,1,0,1,7063.6,0,0.038461538461538464
642,0,0,62,7,0.0,2,1,1,61120.75,0,0.11290322580645161
653,1,1,30,2,88243.29,2,1,1,96658.26,0,0.06666666666666667
825,2,0,37,6,118050.79,1,0,1,52301.15,0,0.16216216216216217
559,0,1,48,2,0.0,2,0,1,137961.41,0,0.041666666666666664
615,1,0,19,5,0.0,2,1,0,159920.92,0,0.2631578947368421
614,0,0,50,4,137104.47,1,1,0,127166.49,1,0.08
593,2,0,74,5,161434.36,2,1,1,65532.17,0,0.06756756756756757
644,0,1,37,8,0.0,2,1,0,20968.88,0,0.21621621621621623
530,0,1,45,1,0.0,1,0,1,190663.89,1,0.022222222222222223
735,2,0,43,10,123180.01,2,1,1,196673.28,0,0.23255813953488372
653,2,0,31,9,143321.97,1,1,0,83679.46,0,0.2903225806451613
636,2,1,31,9,80844.69,2,1,1,74641.9,0,0.2903225806451613
627,0,1,44,5,0.0,2,1,0,82969.61,1,0.11363636363636363
596,0,0,42,7,0.0,2,1,1,121568.37,0,0.16666666666666666
534,1,0,34,5,170600.78,1,0,1,5240.53,0,0.14705882352941177
539,0,0,39,1,0.0,1,1,1,28184.7,0,0.02564102564102564
461,1,1,35,8,0.0,1,1,0,132295.95,0,0.22857142857142856
500,0,1,34,4,0.0,2,1,0,12833.96,0,0.11764705882352941
572,2,0,26,4,118287.01,2,0,0,60427.3,0,0.15384615384615385
567,0,0,59,3,0.0,2,1,0,25843.7,1,0.05084745762711865
632,0,1,28,5,118890.81,1,0,1,145157.97,0,0.17857142857142858
738,2,0,58,2,133745.44,4,1,0,28373.86,1,0.034482758620689655
691,2,0,30,7,101231.77,2,0,0,156529.44,0,0.23333333333333334
435,2,0,32,2,57017.06,2,1,1,5907.11,0,0.0625
693,0,1,38,3,0.0,2,0,0,78133.48,1,0.07894736842105263
753,2,1,38,9,151766.71,1,1,1,180829.99,0,0.23684210526315788
749,2,1,29,7,137059.05,3,1,0,102975.72,1,0.2413793103448276
584,2,0,42,3,137479.13,1,1,0,25669.1,0,0.07142857142857142
590,1,1,34,6,0.0,2,1,0,171021.44,0,0.17647058823529413
694,1,0,39,0,107042.74,1,1,1,102284.2,0,0.0
620,1,0,29,9,0.0,2,1,0,13133.88,0,0.3103448275862069
585,0,1,33,4,152805.05,1,1,0,63239.65,0,0.12121212121212122
595,1,1,30,5,100683.54,1,1,1,178361.04,0,0.16666666666666666
531,0,0,31,3,0.0,1,1,1,42589.33,0,0.0967741935483871
651,2,0,26,5,147037.32,1,0,0,141763.26,0,0.19230769230769232
560,0,0,49,4,0.0,1,1,1,100075.1,1,0.08163265306122448
568,1,1,27,1,116320.68,1,0,1,45563.94,0,0.037037037037037035
569,2,0,30,6,106629.49,1,0,1,44114.88,0,0.2
529,0,0,43,6,93616.35,2,0,0,98348.66,0,0.13953488372093023
616,1,1,44,7,193213.02,2,1,1,137392.77,0,0.1590909090909091
763,1,1,39,7,0.0,2,1,0,19458.75,0,0.1794871794871795
643,0,1,51,2,105229.53,1,1,0,34967.75,1,0.0392156862745098
678,2,1,54,1,123699.28,2,0,1,105221.76,0,0.018518518518518517
787,0,1,40,6,0.0,2,1,1,84151.98,0,0.15
737,0,0,30,8,174356.13,1,0,0,31928.5,0,0.26666666666666666
668,0,1,46,2,0.0,3,1,0,89048.46,1,0.043478260869565216
537,2,1,47,4,124192.28,2,1,1,50881.51,0,0.0851063829787234
823,0,0,34,3,105057.33,1,1,0,9217.92,0,0.08823529411764706
667,1,0,38,1,87202.38,1,1,1,77866.91,0,0.02631578947368421
564,0,0,40,4,0.0,1,1,0,85455.62,1,0.1
669,0,1,41,0,150219.41,2,0,0,107839.03,0,0.0
422,0,0,41,6,153238.88,1,1,0,11663.09,0,0.14634146341463414
612,2,0,42,5,141927.1,1,1,1,43018.98,0,0.11904761904761904
486,0,0,63,9,97009.15,1,1,1,85101.0,0,0.14285714285714285
646,2,1,44,2,113063.83,1,0,0,53072.49,1,0.045454545454545456
604,0,0,33,3,0.0,1,1,0,42171.13,1,0.09090909090909091
584,2,1,36,4,109646.83,1,1,1,70240.79,0,0.1111111111111111
710,0,0,38,3,130588.82,1,1,1,154997.64,0,0.07894736842105263
487,0,1,34,2,96019.5,1,0,0,9085.0,0,0.058823529411764705
512,0,0,24,6,0.0,2,1,0,37654.31,0,0.25
659,1,0,60,2,0.0,1,1,0,177480.45,1,0.03333333333333333
695,0,0,45,3,0.0,2,1,1,30793.61,0,0.06666666666666667
768,0,0,25,0,78396.08,1,1,1,8316.19,0,0.0
603,0,1,48,5,0.0,1,1,0,100478.6,1,0.10416666666666667
747,1,0,41,9,0.0,1,1,0,32430.94,1,0.21951219512195122
790,0,1,40,9,0.0,2,1,1,70607.1,0,0.225
731,0,1,36,6,0.0,1,0,0,152128.36,0,0.16666666666666666
679,2,1,34,7,121063.85,1,1,0,56984.58,0,0.20588235294117646
539,1,0,39,2,0.0,2,1,1,48189.94,0,0.05128205128205128
550,0,1,30,4,0.0,2,1,0,89216.29,0,0.13333333333333333
733,0,0,33,3,0.0,1,1,1,7666.73,0,0.09090909090909091
593,1,0,31,8,112713.34,1,1,1,176868.89,0,0.25806451612903225
614,1,0,36,5,0.0,2,1,0,130610.78,0,0.1388888888888889
686,1,1,36,5,0.0,2,1,1,152979.14,0,0.1388888888888889
787,0,0,25,5,0.0,2,1,0,47307.9,0,0.2
642,2,1,39,8,128264.03,1,1,0,61792.76,1,0.20512820512820512
610,0,0,26,8,0.0,2,1,0,166031.08,0,0.3076923076923077
649,0,1,56,8,156974.26,1,1,0,89405.26,1,0.14285714285714285
611,2,1,29,4,78885.88,2,1,1,26927.69,0,0.13793103448275862
543,0,1,34,8,0.0,2,0,1,145601.8,0,0.23529411764705882
603,0,1,24,3,0.0,1,1,1,198826.03,1,0.125
565,2,1,58,3,108888.24,3,0,1,135875.51,1,0.05172413793103448
765,2,1,46,8,119492.88,2,0,1,166896.01,1,0.17391304347826086
533,0,1,35,8,0.0,2,1,1,187900.12,0,0.22857142857142856
739,1,1,40,8,0.0,1,1,0,167030.51,0,0.2
661,2,0,35,2,117212.18,1,1,1,83052.03,0,0.05714285714285714
557,1,0,48,10,0.0,2,1,1,185094.48,0,0.20833333333333334
727,2,0,45,6,114422.85,2,1,1,104678.78,1,0.13333333333333333
662,0,0,29,5,147092.65,1,1,0,10928.3,0,0.1724137931034483
847,1,1,37,9,112712.17,1,1,0,116097.26,0,0.24324324324324326
679,1,0,39,6,0.0,2,1,0,12266.06,0,0.15384615384615385
683,2,1,39,2,47685.47,2,1,1,86019.48,0,0.05128205128205128
630,2,1,31,2,112373.49,2,1,1,131167.98,0,0.06451612903225806
619,1,0,52,8,0.0,2,1,1,123242.11,0,0.15384615384615385
781,0,0,32,6,147107.91,1,1,1,40066.95,0,0.1875
810,2,0,69,3,27288.43,1,1,1,110509.9,0,0.043478260869565216
850,2,1,43,8,92244.83,2,1,0,54949.73,0,0.18604651162790697
431,2,0,42,8,120822.86,2,1,0,126153.24,0,0.19047619047619047
523,0,0,34,2,161588.89,1,1,1,51358.66,0,0.058823529411764705
519,2,0,38,1,114141.64,1,1,1,60988.21,1,0.02631578947368421
628,1,0,28,4,0.0,2,1,1,176750.81,0,0.14285714285714285
539,2,1,34,4,91622.42,1,1,1,136603.42,0,0.11764705882352941
700,1,0,31,7,0.0,2,0,1,145151.96,0,0.22580645161290322
646,1,0,32,1,0.0,2,1,0,183289.22,0,0.03125
635,0,1,72,4,74812.84,1,0,1,27448.33,0,0.05555555555555555
670,0,0,25,7,0.0,2,1,1,144723.38,0,0.28
633,1,0,27,3,0.0,2,1,0,44008.91,0,0.1111111111111111
700,0,1,44,2,58781.76,1,1,0,16874.92,0,0.045454545454545456
664,0,1,36,0,103502.22,1,1,1,146191.82,0,0.0
816,0,0,31,8,0.0,2,1,1,28407.4,0,0.25806451612903225
754,0,1,38,2,0.0,2,0,0,3524.69,0,0.05263157894736842
641,0,0,37,6,0.0,2,1,0,45309.24,0,0.16216216216216217
766,0,1,45,6,0.0,2,0,0,147184.74,0,0.13333333333333333
628,0,1,51,3,123981.31,2,1,1,40546.15,0,0.058823529411764705
734,2,0,33,5,121898.58,1,1,0,61829.89,0,0.15151515151515152
561,0,0,34,1,78829.53,1,1,1,12148.2,0,0.029411764705882353
642,2,1,19,3,113905.48,1,1,1,176137.2,0,0.15789473684210525
740,0,0,36,7,0.0,1,1,1,13177.4,0,0.19444444444444445
630,1,0,41,7,107511.52,1,0,1,46156.87,0,0.17073170731707318
756,1,0,29,2,117412.19,2,1,0,4888.91,0,0.06896551724137931
665,0,1,38,5,0.0,2,1,0,156439.56,0,0.13157894736842105
850,2,0,22,7,91560.58,2,0,0,10541.38,0,0.3181818181818182
835,1,0,45,3,100212.13,1,1,0,152577.62,0,0.06666666666666667
577,1,0,43,8,79757.21,1,1,0,135650.72,1,0.18604651162790697
497,2,0,41,5,80542.81,1,0,0,88729.22,1,0.12195121951219512
593,2,1,32,9,134096.53,2,1,0,53931.05,1,0.28125
639,1,1,27,2,0.0,1,1,1,82938.99,0,0.07407407407407407
694,0,0,32,0,91956.49,1,1,1,59961.81,0,0.0
705,2,1,40,3,92889.91,1,1,1,109496.69,0,0.075
637,1,1,22,5,98800.0,1,1,0,122865.55,0,0.22727272727272727
747,0,0,43,1,130788.71,1,0,1,101495.0,1,0.023255813953488372
755,2,1,33,6,90560.3,2,1,1,42607.69,0,0.18181818181818182
757,1,0,30,3,145396.49,1,0,1,198341.15,0,0.1
654,1,0,34,5,0.0,2,1,0,159311.46,0,0.14705882352941177
629,0,0,59,9,113657.83,1,1,1,116848.79,1,0.15254237288135594
785,0,1,36,4,135438.4,1,0,0,190627.01,0,0.1111111111111111
735,0,0,44,9,120681.63,1,1,0,74836.34,0,0.20454545454545456
562,0,1,51,1,124662.54,1,1,1,65390.46,1,0.0196078431372549
779,0,1,26,0,0.0,2,0,1,111906.0,0,0.0
514,0,0,45,1,178827.79,1,1,0,60375.18,0,0.022222222222222223
567,0,1,41,9,137891.35,1,1,0,142009.46,1,0.21951219512195122
580,1,0,29,9,61710.44,2,1,0,128077.8,0,0.3103448275862069
549,0,0,50,9,94748.76,2,0,1,13608.18,0,0.18
687,1,1,29,7,93617.07,1,0,1,113050.92,0,0.2413793103448276
578,0,0,32,4,0.0,2,1,1,141822.8,0,0.125
629,0,0,31,6,0.0,2,1,0,93881.75,0,0.1935483870967742
794,0,0,56,9,96951.21,1,1,1,71776.76,0,0.16071428571428573
617,0,1,28,0,0.0,2,1,1,7597.83,1,0.0
700,1,0,29,8,0.0,2,0,1,152097.02,0,0.27586206896551724
652,0,1,48,8,133297.24,1,1,0,77764.37,0,0.16666666666666666
662,1,0,37,5,94901.09,1,1,1,48233.75,0,0.13513513513513514
708,2,0,21,8,133974.36,2,1,0,50294.09,0,0.38095238095238093
824,0,0,45,3,129209.48,1,0,0,60151.77,0,0.06666666666666667
617,0,1,26,2,165947.99,2,0,1,168834.38,0,0.07692307692307693
678,1,1,49,8,0.0,2,0,1,98090.69,0,0.16326530612244897
540,2,0,64,1,91869.69,1,0,1,95421.0,0,0.015625
813,2,1,36,6,98088.09,1,0,1,26687.22,1,0.16666666666666666
652,2,0,50,8,125437.64,1,1,1,17160.94,1,0.16
705,1,1,24,5,177799.83,2,0,0,79886.06,0,0.20833333333333334
767,0,0,36,3,139180.2,1,0,0,123880.19,0,0.08333333333333333
533,0,1,39,2,0.0,1,0,1,73669.94,1,0.05128205128205128
651,0,1,32,8,144581.96,1,1,1,87609.5,0,0.25
504,2,0,43,5,134740.19,2,1,0,181430.91,0,0.11627906976744186
714,0,0,40,9,46520.69,1,1,1,96687.25,0,0.225
657,0,0,34,3,107136.6,1,1,0,153895.46,0,0.08823529411764706
563,1,0,24,7,0.0,2,0,0,16319.56,0,0.2916666666666667
695,1,1,34,9,0.0,2,1,1,67502.12,0,0.2647058823529412
480,0,1,40,7,0.0,1,1,0,170332.67,1,0.175
743,0,1,40,6,0.0,1,1,0,28280.8,1,0.15
739,1,1,41,8,0.0,1,1,0,191694.77,1,0.1951219512195122
571,0,1,33,1,0.0,2,1,0,102750.7,0,0.030303030303030304
614,0,1,27,9,106414.57,2,0,0,77500.81,0,0.3333333333333333
850,0,0,40,6,0.0,1,1,0,136985.08,1,0.15
765,2,1,34,8,136729.51,2,0,0,47058.21,0,0.23529411764705882
528,2,0,22,5,93547.23,2,0,1,961.57,0,0.22727272727272727
608,2,1,40,8,121729.42,1,0,0,61164.45,0,0.2
670,1,1,20,4,0.0,2,1,0,119759.24,0,0.2
850,0,1,43,3,0.0,2,0,0,2465.8,0,0.06976744186046512
693,0,0,29,2,151352.74,1,0,0,197145.89,0,0.06896551724137931
551,0,0,52,1,0.0,1,0,0,63584.55,1,0.019230769230769232
605,0,0,39,7,0.0,1,0,1,119348.28,0,0.1794871794871795
647,2,0,37,3,116509.99,1,1,1,149517.71,1,0.08108108108108109
751,2,0,54,9,156367.6,2,0,1,116179.92,0,0.16666666666666666
603,0,0,32,7,0.0,1,1,0,198055.94,1,0.21875
738,1,1,33,3,122134.4,2,0,1,27867.59,0,0.09090909090909091
685,1,1,25,10,128509.63,1,1,0,121562.33,0,0.4
749,0,1,60,6,0.0,1,1,0,17978.68,1,0.1
591,0,1,38,2,142289.28,1,0,1,119638.85,0,0.05263157894736842
477,2,1,24,2,95675.62,2,0,0,162699.7,1,0.08333333333333333
607,2,1,37,4,135927.06,1,0,0,180890.4,0,0.10810810810810811
694,0,0,39,5,77652.4,1,1,1,25407.59,0,0.1282051282051282
811,0,0,31,7,117799.28,1,1,1,182372.35,0,0.22580645161290322
850,2,1,34,3,129668.43,2,1,1,88743.99,0,0.08823529411764706
737,2,0,31,5,121192.22,2,1,1,74890.58,0,0.16129032258064516
673,0,1,37,10,0.0,2,1,1,37411.35,0,0.2702702702702703
615,0,0,36,6,0.0,1,1,1,27011.8,1,0.16666666666666666
618,1,0,32,5,133476.09,1,0,1,154843.4,0,0.15625
621,2,1,55,7,131033.76,1,0,1,75685.59,1,0.12727272727272726
653,0,1,46,5,0.0,2,1,0,49707.85,0,0.10869565217391304
716,0,1,29,6,0.0,2,1,1,98998.61,0,0.20689655172413793
744,2,1,41,2,84113.41,1,1,0,197548.63,0,0.04878048780487805
751,1,1,37,3,99773.85,2,1,0,54865.92,0,0.08108108108108109
707,0,1,44,6,0.0,2,1,1,192542.17,0,0.13636363636363635
699,0,1,43,3,80764.03,1,1,0,199378.58,1,0.06976744186046512
436,1,0,43,5,0.0,2,1,1,35687.43,0,0.11627906976744186
488,0,1,34,2,0.0,2,1,1,181270.84,0,0.058823529411764705
496,1,1,43,3,0.0,2,0,1,199505.53,0,0.06976744186046512
542,2,0,25,8,139330.1,1,0,0,54372.37,0,0.32
672,0,0,37,5,153195.59,1,1,1,162763.01,0,0.13513513513513514
708,0,1,67,1,0.0,2,0,1,3837.08,0,0.014925373134328358
507,1,0,46,6,92783.68,1,1,1,51424.29,0,0.13043478260869565
468,0,1,22,1,76318.64,1,1,1,194783.12,0,0.045454545454545456
598,1,0,27,8,90721.52,2,1,0,109296.18,0,0.2962962962962963
718,0,0,38,7,0.0,2,1,0,38308.34,0,0.18421052631578946
725,0,1,33,4,0.0,1,1,1,67879.8,0,0.12121212121212122
594,0,0,40,9,122417.17,2,0,1,190882.69,0,0.225
524,1,1,32,6,0.0,1,1,1,132861.9,1,0.1875
571,2,0,37,9,139592.98,3,1,0,104152.65,1,0.24324324324324326
746,0,0,36,9,127157.04,1,1,1,155700.15,0,0.25
704,0,1,33,0,130499.09,2,1,1,74804.36,0,0.0
629,1,0,34,1,121151.05,1,0,0,119357.93,0,0.029411764705882353
658,0,1,40,7,140596.95,1,0,1,135459.02,1,0.175
691,0,1,33,1,128306.83,1,1,1,113580.79,0,0.030303030303030304
637,0,1,63,5,0.0,1,1,0,28092.77,1,0.07936507936507936
744,0,0,31,9,120718.28,1,1,1,58961.49,0,0.2903225806451613
684,1,0,41,2,119782.72,2,0,0,120284.67,0,0.04878048780487805
577,2,1,43,3,127940.47,1,0,0,125140.72,1,0.06976744186046512
736,0,0,27,5,51522.75,1,0,1,192131.77,0,0.18518518518518517
477,0,0,22,5,82559.42,2,0,0,163112.9,1,0.22727272727272727
794,0,1,41,7,0.0,2,1,1,74275.08,0,0.17073170731707318
570,0,0,32,9,117337.54,2,0,1,62810.91,0,0.28125
752,0,0,39,3,0.0,1,1,0,188187.05,0,0.07692307692307693
642,0,0,36,4,0.0,2,1,1,195224.91,0,0.1111111111111111
695,1,0,63,1,146202.93,1,1,1,126688.83,1,0.015873015873015872
792,2,1,29,4,107601.79,1,1,0,18922.18,1,0.13793103448275862
470,1,1,48,6,140576.11,1,1,1,116971.05,0,0.125
805,1,0,37,5,0.0,2,1,0,21928.81,0,0.13513513513513514
623,0,0,21,10,0.0,2,0,1,135851.3,0,0.47619047619047616
540,1,1,31,10,118158.74,1,1,1,158027.57,0,0.3225806451612903
762,0,0,20,1,139432.55,1,1,1,85606.83,0,0.05
532,0,1,40,5,0.0,2,0,1,177099.71,0,0.125
670,1,0,42,3,81589.04,1,1,0,188227.8,0,0.07142857142857142
646,0,1,45,3,47134.75,1,1,1,57236.44,0,0.06666666666666667
699,1,1,29,9,127570.93,2,1,0,164756.81,0,0.3103448275862069
591,0,0,42,9,161651.37,2,1,1,131753.97,0,0.21428571428571427
619,0,1,33,2,167733.51,2,1,1,65222.48,0,0.06060606060606061
618,1,0,38,5,126473.99,1,1,0,91972.49,0,0.13157894736842105
702,2,1,23,7,98775.23,1,1,0,114603.96,0,0.30434782608695654
638,2,1,53,1,123916.67,1,1,0,16657.68,1,0.018867924528301886
798,0,0,34,9,154495.79,1,1,0,191395.88,0,0.2647058823529412
691,0,0,50,6,136953.47,1,1,1,2704.98,0,0.12
808,0,0,41,0,0.0,1,1,1,79888.78,0,0.0
675,0,0,35,8,0.0,2,1,1,56642.97,0,0.22857142857142856
653,0,0,29,2,0.0,2,1,1,41671.81,0,0.06896551724137931
652,1,1,75,10,0.0,2,1,1,114675.75,0,0.13333333333333333
430,0,0,35,1,118894.22,1,0,0,2923.61,0,0.02857142857142857
547,0,0,30,6,0.0,2,1,1,18471.86,0,0.2
684,2,1,46,3,102955.14,2,1,0,154137.33,0,0.06521739130434782
850,0,0,40,6,124788.18,1,1,0,65612.12,0,0.15
621,0,0,47,0,0.0,1,1,1,133831.37,1,0.0
720,2,0,23,0,187861.18,2,1,1,104120.17,0,0.0
611,2,1,40,7,128486.91,2,1,0,10109.47,0,0.175
774,0,0,60,5,85891.55,1,1,0,74135.48,1,0.08333333333333333
739,1,0,60,4,0.0,1,1,1,51637.67,0,0.06666666666666667
559,0,1,43,1,0.0,1,0,1,86634.3,0,0.023255813953488372
526,2,1,35,9,118536.4,1,1,0,40980.87,1,0.2571428571428571
515,0,1,28,9,0.0,2,0,0,94141.75,0,0.32142857142857145
530,1,0,37,4,0.0,2,1,1,164844.37,0,0.10810810810810811
635,1,0,24,4,140197.18,1,1,1,142935.83,0,0.16666666666666666
682,0,0,28,10,200724.96,1,0,1,82872.64,1,0.35714285714285715
735,0,1,53,8,123845.36,2,0,1,170454.93,1,0.1509433962264151
595,2,1,26,8,118547.72,1,1,1,151192.18,0,0.3076923076923077
464,1,1,34,5,76001.57,1,1,1,158668.87,0,0.14705882352941177
690,0,0,39,6,0.0,2,1,0,160532.88,0,0.15384615384615385
562,0,0,35,7,0.0,1,0,0,48869.67,0,0.2
433,1,0,34,9,152806.74,1,1,0,19687.99,0,0.2647058823529412
707,0,1,55,1,0.0,2,0,1,54409.48,0,0.01818181818181818
819,2,1,49,1,120656.86,4,0,0,166164.3,1,0.02040816326530612
733,1,1,31,9,102289.85,1,1,1,115441.66,0,0.2903225806451613
686,0,0,34,6,146178.13,2,1,1,88837.11,0,0.17647058823529413
497,0,0,32,8,0.0,2,1,0,67364.42,0,0.25
687,1,1,50,5,0.0,2,1,0,110230.4,0,0.1
665,0,1,23,9,143672.9,1,1,1,115147.33,0,0.391304347826087
818,1,0,26,4,0.0,2,1,1,167036.94,0,0.15384615384615385
516,2,1,33,10,138847.9,1,1,1,127256.7,0,0.30303030303030304
523,1,1,36,8,113680.54,1,0,0,13197.44,0,0.2222222222222222
694,2,1,58,1,143212.22,1,0,0,102628.56,1,0.017241379310344827
598,2,0,41,3,91536.93,1,1,0,191468.78,1,0.07317073170731707
746,0,0,47,8,142382.03,1,1,1,62086.62,0,0.1702127659574468
631,1,0,27,10,134169.62,1,1,1,176730.02,0,0.37037037037037035
627,2,0,28,5,71097.23,1,1,1,130504.49,0,0.17857142857142858
455,0,0,40,1,0.0,3,0,1,129975.34,0,0.025
590,1,0,30,3,0.0,2,1,0,83090.35,0,0.1
762,0,1,51,3,99286.98,1,0,1,85578.63,0,0.058823529411764705
626,1,0,62,3,0.0,1,1,1,65010.74,0,0.04838709677419355
571,2,0,25,6,82506.72,2,1,0,167705.07,0,0.24
537,1,1,38,6,141786.78,1,0,1,147797.54,0,0.15789473684210525
687,0,0,28,7,108116.66,1,1,1,27411.19,0,0.25
704,1,0,33,3,0.0,2,1,0,73018.74,0,0.09090909090909091
652,0,1,37,4,0.0,2,1,0,143393.24,0,0.10810810810810811
579,2,0,31,2,90547.48,2,1,1,18800.13,0,0.06451612903225806
535,0,0,45,2,0.0,2,1,0,125658.28,0,0.044444444444444446
753,2,0,32,5,159904.79,1,1,0,148811.14,0,0.15625
623,1,1,43,4,123536.52,2,0,0,154908.52,0,0.09302325581395349
712,1,1,79,5,108078.56,1,1,1,174118.93,0,0.06329113924050633
681,1,1,57,2,173306.13,1,0,1,131964.66,0,0.03508771929824561
728,0,0,30,10,114835.43,1,0,1,37662.49,0,0.3333333333333333
739,1,0,31,1,0.0,2,1,1,58469.75,0,0.03225806451612903
535,0,1,27,6,0.0,2,0,1,49775.58,0,0.2222222222222222
643,0,1,46,6,0.0,2,0,0,106781.59,0,0.13043478260869565
609,1,0,37,5,129312.79,1,1,1,26793.82,0,0.13513513513513514
607,2,0,61,2,164523.5,2,1,1,35786.76,0,0.03278688524590164
593,1,1,40,2,0.0,1,1,1,5194.95,0,0.05
773,0,0,25,1,124532.78,2,0,1,11723.57,0,0.04
656,1,1,40,10,167878.5,1,0,1,151887.16,0,0.25
649,0,0,45,7,0.0,2,0,1,75204.21,0,0.15555555555555556
766,2,1,34,6,106434.94,1,0,1,137995.66,1,0.17647058823529413
