Balance,Geography
96888.39,Germany
130830.22,Germany
0.0,France
0.0,France
0.0,France
119714.25,Germany
113978.97,France
100160.75,Germany
0.0,France
116220.5,Germany
0.0,France
81173.83,France
0.0,Spain
116803.8,Germany
105961.68,France
117411.6,Germany
0.0,Spain
123497.58,France
152400.51,Germany
0.0,France
103097.85,Germany
126418.14,Germany
77846.9,Germany
0.0,Spain
0.0,France
79731.91,Germany
0.0,Spain
0.0,Spain
0.0,France
37266.67,Germany
127992.25,France
54901.01,Germany
108748.08,Germany
99906.19,Spain
184686.41,France
110654.02,France
79019.8,Spain
99240.51,Spain
0.0,France
0.0,France
0.0,Spain
52436.2,Germany
0.0,Spain
100337.96,Germany
149297.19,Germany
0.0,France
145605.44,Germany
0.0,Spain
0.0,France
0.0,France
84026.86,France
0.0,France
0.0,France
0.0,Spain
138718.92,Germany
118274.71,France
174185.98,France
113208.86,France
103907.28,Spain
119023.28,France
166297.89,Spain
0.0,Spain
63227.0,Germany
94521.17,Spain
0.0,France
112822.26,Spain
0.0,France
135903.33,France
125169.26,France
0.0,Spain
149117.31,France
0.0,France
0.0,France
132311.71,Spain
0.0,France
0.0,France
118082.89,France
119266.69,France
0.0,France
156847.29,Germany
137104.47,France
78398.69,Germany
0.0,France
63669.42,Germany
0.0,France
135296.33,Germany
153804.44,Spain
0.0,Spain
147069.78,France
0.0,Spain
0.0,Spain
95741.75,France
145965.33,Spain
141441.75,France
139290.41,France
0.0,France
0.0,France
144428.87,France
0.0,France
95441.27,France
144848.74,Germany
116244.14,Germany
0.0,France
146502.07,Spain
117028.6,Germany
112013.81,Germany
108269.37,Spain
182123.79,France
150923.74,Germany
0.0,France
165272.13,Spain
115301.31,Germany
129502.49,Germany
118342.26,France
0.0,Spain
0.0,France
0.0,France
0.0,France
106937.05,Germany
170331.37,Germany
114510.85,Germany
0.0,France
107594.11,Spain
81273.13,Spain
169399.6,Spain
0.0,Spain
187841.99,France
0.0,France
126776.3,Spain
126436.29,Spain
101960.74,France
0.0,France
0.0,Spain
150842.93,Germany
102535.57,France
99027.61,Germany
0.0,France
0.0,Spain
87271.41,Germany
102742.91,Germany
40105.51,Germany
152265.43,France
141947.67,Spain
106307.91,Germany
107884.81,Germany
125013.72,Germany
58469.37,Germany
0.0,France
117231.63,Germany
152390.26,Spain
34013.63,Spain
0.0,Spain
0.0,France
101583.11,France
77168.87,Germany
124695.72,Germany
105934.96,Germany
0.0,France
0.0,Spain
0.0,Spain
0.0,Spain
161525.96,France
147199.07,Germany
183102.29,Germany
127209.0,Spain
0.0,Spain
97378.54,Spain
136925.09,Germany
54503.55,France
155726.85,Germany
0.0,France
135842.41,France
63349.75,France
129499.42,Germany
0.0,Spain
70438.01,Spain
0.0,France
0.0,France
141434.04,Spain
0.0,Spain
152958.29,Germany
138306.34,Germany
0.0,Spain
0.0,France
124328.84,Spain
181461.48,Germany
0.0,Spain
0.0,Spain
110368.03,Germany
89588.35,France
0.0,France
0.0,France
115924.89,Germany
0.0,France
111756.5,Germany
0.0,France
0.0,France
162923.85,France
124576.65,Germany
80793.58,France
71340.09,Germany
99282.63,Germany
137946.39,Germany
127892.57,Germany
101084.36,Germany
114754.08,Germany
0.0,France
99286.98,France
79871.02,Germany
104088.59,France
168190.33,France
85679.25,Germany
0.0,France
0.0,France
121551.58,France
122220.19,France
116528.15,Spain
77780.29,France
0.0,France
125832.2,France
68065.8,France
127299.34,Spain
174937.64,Germany
0.0,France
110071.1,Spain
139432.37,Spain
127357.76,France
0.0,France
0.0,France
0.0,France
95556.31,Germany
0.0,Spain
111681.98,Germany
0.0,France
108738.71,Spain
133950.37,France
0.0,Spain
89968.69,France
0.0,Spain
130878.75,Germany
0.0,France
0.0,France
134169.62,Spain
149762.08,France
93844.69,France
0.0,France
0.0,France
141078.37,Germany
117992.59,Germany
100812.33,France
0.0,France
80262.6,France
156478.62,Spain
0.0,France
0.0,France
115217.99,Germany
0.0,Spain
155470.55,France
0.0,France
135096.77,France
0.0,France
180075.22,Germany
97541.24,Spain
156067.05,France
81550.94,France
0.0,France
170061.92,France
92310.54,Germany
169089.38,France
80613.93,France
121581.56,Germany
0.0,France
0.0,Spain
0.0,France
85891.55,France
77637.35,Spain
0.0,Spain
0.0,France
116927.89,Germany
137326.65,Germany
0.0,France
0.0,Spain
67238.98,Germany
86569.76,Germany
0.0,Spain
133598.4,France
136188.78,France
0.0,Spain
0.0,France
120092.52,Germany
101238.24,France
89685.92,France
211774.31,France
131317.48,France
93722.73,Spain
101160.99,Germany
120320.54,France
0.0,France
0.0,France
0.0,France
152827.99,Germany
64097.75,France
119035.35,Spain
135219.57,Spain
93694.42,France
59408.63,Spain
114354.95,France
0.0,France
128173.9,Germany
0.0,Spain
114931.35,Germany
111071.36,Germany
151226.18,France
0.0,France
64740.12,France
169312.13,Spain
0.0,France
112652.08,Spain
0.0,France
143964.36,Germany
122451.46,France
0.0,France
65253.07,Germany
106901.94,Germany
128509.63,Spain
0.0,France
129834.67,Germany
154962.99,Spain
138241.9,Germany
91536.93,Germany
0.0,Spain
0.0,Spain
105204.01,Germany
152968.73,Spain
158261.68,Spain
0.0,France
121021.05,Spain
0.0,France
0.0,Spain
137715.66,Spain
121192.22,Germany
0.0,France
100486.18,France
0.0,France
92566.53,France
0.0,Spain
110929.96,Spain
0.0,France
138901.61,Spain
123217.66,France
0.0,France
0.0,France
0.0,Spain
108431.87,Spain
0.0,Spain
72392.41,Germany
119741.77,Germany
100946.71,France
170491.84,Spain
0.0,France
0.0,France
157296.02,Spain
144606.22,Germany
134811.3,France
115897.12,France
82034.0,Spain
174318.13,Spain
114206.84,Germany
0.0,Spain
111574.41,Germany
162448.69,Germany
148249.54,Germany
0.0,France
123709.46,Spain
0.0,France
0.0,France
150525.8,France
0.0,France
0.0,France
0.0,France
0.0,France
111018.98,Germany
129755.99,France
0.0,France
129555.7,France
87202.38,Spain
146133.39,Germany
0.0,Spain
170184.99,Spain
140745.33,Germany
139070.51,Spain
0.0,Spain
114193.24,France
167878.5,Spain
141616.55,Germany
145747.67,Germany
129120.64,Spain
110349.82,Spain
141325.56,France
78653.84,France
0.0,France
142253.65,Spain
0.0,France
115988.86,Germany
75592.43,Spain
164113.04,Germany
67996.23,France
0.0,Spain
0.0,Spain
138778.15,France
147832.15,France
135438.4,France
116060.08,Spain
112564.62,France
125406.58,France
135134.99,Germany
133102.92,France
42157.08,France
0.0,France
82259.29,France
0.0,France
0.0,France
0.0,France
0.0,France
150461.07,France
133994.52,Germany
164870.81,Spain
121702.73,Germany
193858.2,Spain
131039.97,Germany
113829.45,France
0.0,France
81877.38,Germany
116326.07,Spain
0.0,France
0.0,France
0.0,France
0.0,France
127070.73,France
0.0,France
122549.64,Spain
176099.13,France
122388.38,Germany
0.0,France
0.0,France
118879.35,Spain
0.0,Spain
0.0,France
88736.44,Spain
102703.62,Germany
0.0,Spain
0.0,Spain
97318.25,France
128468.69,Spain
133432.59,Germany
141782.57,Germany
135125.28,France
178820.91,Spain
112212.14,France
126674.81,Germany
136294.97,France
66392.64,France
122552.34,Germany
76408.85,France
145071.24,Germany
0.0,France
109730.22,France
0.0,France
64119.38,Spain
106138.33,Germany
0.0,Spain
181656.51,Germany
0.0,France
95128.86,France
126615.94,Spain
0.0,Spain
76190.48,Germany
168286.81,Germany
88109.81,Germany
0.0,France
0.0,France
123971.51,France
148116.48,France
116269.01,Germany
120599.21,Spain
144260.5,France
86605.5,Spain
0.0,France
58629.97,Germany
0.0,Spain
0.0,France
0.0,France
209767.31,Spain
129634.25,Spain
0.0,France
169824.46,France
97530.25,France
145988.65,France
0.0,France
0.0,France
137494.28,France
0.0,France
147360.0,France
0.0,France
125167.02,Spain
121152.05,Germany
128981.07,Germany
0.0,France
151858.98,Spain
114628.4,France
0.0,France
95059.02,France
128736.39,France
156325.38,France
105405.97,France
88915.37,France
0.0,France
0.0,France
160980.03,France
177619.71,Spain
62276.99,Spain
127559.97,Germany
0.0,France
95523.16,Germany
107749.03,France
110777.26,Germany
166733.92,Spain
157120.86,France
127160.78,Germany
0.0,Spain
156091.97,France
98668.18,France
134022.06,France
124151.09,France
77253.5,Germany
114292.48,Germany
140080.32,Germany
135277.96,Spain
0.0,France
115920.62,Germany
119782.72,Spain
114715.71,France
129748.54,Germany
129722.57,France
0.0,France
139180.2,France
113599.74,Germany
134944.0,France
116922.25,Germany
118945.09,Spain
0.0,France
119182.73,Spain
0.0,France
71264.02,France
0.0,France
0.0,France
116313.57,Germany
92140.15,Spain
0.0,France
177640.09,Germany
0.0,Spain
167997.6,Spain
82275.35,France
0.0,France
111962.99,Germany
131736.88,Germany
0.0,France
108239.11,Germany
98444.19,France
114540.38,Germany
187530.66,France
133636.16,Germany
0.0,France
84745.03,Germany
120599.38,Germany
0.0,Spain
127771.35,France
0.0,Spain
0.0,France
0.0,France
167772.96,Germany
95845.6,France
0.0,France
134714.7,Spain
0.0,Spain
122384.22,Germany
0.0,France
157993.15,France
0.0,France
123331.36,Germany
75263.16,Spain
137824.03,France
132578.92,Germany
156021.31,France
0.0,Spain
137453.43,Spain
0.0,Spain
164284.72,Germany
0.0,France
0.0,Spain
112373.49,Germany
0.0,France
0.0,France
0.0,Spain
154333.82,Germany
111432.77,Germany
0.0,France
137390.11,France
0.0,Spain
111642.08,Germany
0.0,Spain
83543.37,France
145338.76,Germany
186796.37,France
58641.43,Germany
0.0,Spain
137148.68,France
80001.23,France
86402.52,Germany
0.0,France
122874.74,Spain
97544.29,France
170826.55,Germany
97133.92,Germany
153895.65,Germany
0.0,France
0.0,France
0.0,Spain
134956.02,Germany
143637.58,Spain
147506.25,Spain
0.0,France
190227.46,France
172448.77,France
113980.21,France
0.0,France
0.0,France
76968.12,Germany
88293.13,France
170833.46,France
108122.39,Germany
0.0,France
0.0,France
129818.39,Germany
163943.89,France
0.0,France
101430.3,France
117301.66,France
173340.83,Germany
0.0,Spain
134348.57,France
105525.65,France
0.0,France
0.0,France
106192.1,France
45144.43,France
92113.61,France
0.0,France
128366.44,Spain
0.0,France
106545.53,Germany
145618.37,France
141541.25,Spain
57017.06,Germany
0.0,France
0.0,France
125884.95,Germany
61825.5,Germany
0.0,France
0.0,France
102967.41,France
171770.55,Germany
93051.64,Germany
161064.64,France
90612.34,France
145105.64,France
0.0,France
0.0,France
174912.72,France
104947.72,France
135213.71,Spain
0.0,Spain
116229.85,France
111201.41,Spain
0.0,Spain
131899.0,Germany
124525.52,France
0.0,France
0.0,France
47134.75,France
0.0,Spain
0.0,Spain
0.0,France
0.0,Spain
0.0,France
138657.08,Germany
70302.48,France
101609.01,Germany
0.0,Spain
130170.82,Germany
133802.29,Germany
106234.02,France
132628.98,Spain
103522.75,Germany
192390.52,Germany
0.0,Spain
0.0,Spain
0.0,France
109922.61,France
128605.32,Germany
0.0,France
68598.56,France
106518.52,Spain
0.0,France
0.0,France
121326.42,Germany
67226.37,France
82931.85,Spain
0.0,Spain
118590.41,France
145981.87,France
73309.38,France
130796.33,France
151607.56,Germany
111577.01,Germany
107042.74,Spain
156371.61,Spain
129605.99,France
0.0,Spain
0.0,Spain
132576.25,Spain
129101.3,France
108822.4,Germany
137948.51,Spain
100433.8,Spain
96134.11,Spain
115888.04,Germany
124626.07,France
139810.34,France
0.0,Spain
84496.71,France
116854.71,Germany
138333.03,France
0.0,France
78992.75,Germany
97257.41,Spain
122453.37,France
112940.07,Spain
132558.26,France
0.0,France
133297.24,France
0.0,France
197041.8,France
71497.79,Germany
0.0,France
128100.28,Germany
124532.78,France
82293.82,Germany
142120.91,France
151839.26,Spain
149620.88,Spain
168197.66,France
93147.0,France
97440.02,France
65046.08,Germany
95357.49,Spain
123105.88,Spain
0.0,Spain
0.0,Spain
121286.27,Spain
167738.82,Germany
104091.29,France
121980.56,Germany
0.0,France
50880.98,Germany
175159.9,France
105514.69,Germany
116497.31,Germany
0.0,Spain
99824.45,France
0.0,France
0.0,Spain
0.0,France
122964.88,Spain
0.0,France
0.0,Spain
0.0,Spain
89634.69,France
95710.11,Germany
139706.31,Germany
103909.86,Germany
0.0,France
173434.9,France
102238.01,Spain
179380.74,France
0.0,France
108691.95,France
0.0,France
0.0,France
133377.8,Germany
0.0,Spain
0.0,Spain
116537.6,France
0.0,France
0.0,Spain
130131.08,France
0.0,France
0.0,Spain
107316.09,France
0.0,France
83181.29,France
0.0,France
153946.14,Spain
0.0,France
135483.17,Spain
0.0,France
119624.54,France
121132.26,Spain
0.0,Spain
0.0,France
54817.55,Germany
107949.45,Germany
0.0,France
80816.45,Spain
98205.77,Germany
94684.27,Spain
141604.76,Spain
0.0,Spain
0.0,Spain
122949.14,France
81677.22,Germany
80293.98,France
155413.06,Spain
0.0,Spain
67111.65,Germany
103818.43,France
0.0,France
152169.12,France
0.0,France
214346.96,Germany
0.0,France
113348.14,France
170935.94,Germany
103023.26,Germany
0.0,Spain
0.0,Spain
111855.04,France
140348.56,Germany
0.0,Spain
145512.84,France
146720.98,Germany
107209.73,France
130933.74,Germany
0.0,Spain
89772.3,Spain
0.0,France
0.0,France
0.0,France
100749.5,France
0.0,France
0.0,Spain
123981.31,France
91622.42,Germany
126195.81,France
94267.9,France
0.0,France
0.0,France
0.0,France
100717.85,Germany
0.0,France
141581.71,France
0.0,Spain
148586.64,France
0.0,Spain
0.0,Spain
123403.85,Germany
0.0,France
106511.85,France
0.0,France
135549.9,Germany
110555.37,Germany
0.0,France
185891.54,France
130854.59,Germany
92578.14,France
132312.06,Germany
144976.5,France
87070.23,Spain
0.0,France
115414.19,France
91070.43,Spain
117412.19,Spain
90018.45,Germany
0.0,France
112414.81,Germany
158456.76,Germany
0.0,Spain
149641.53,Germany
122528.18,Spain
143734.01,Germany
155663.31,France
0.0,France
101736.66,Germany
125822.21,Spain
0.0,France
0.0,France
0.0,France
157791.07,Germany
0.0,France
0.0,France
181627.14,Germany
109679.72,Spain
96652.86,France
190008.32,France
0.0,Spain
0.0,France
148962.76,Germany
0.0,France
131344.52,Germany
101713.84,Germany
0.0,Spain
0.0,France
137963.07,France
129938.07,Spain
151421.44,Germany
135643.0,Germany
122773.5,Spain
152303.8,France
0.0,France
79415.67,Spain
125801.03,Germany
0.0,Spain
0.0,France
104817.41,France
0.0,France
67495.04,Germany
164850.54,France
154776.42,Germany
143124.63,Germany
0.0,France
0.0,France
102133.38,France
79932.41,Spain
120711.73,Germany
122717.53,Germany
92363.3,Spain
203715.15,Spain
0.0,Spain
0.0,France
0.0,France
0.0,France
93460.47,Germany
0.0,France
40224.7,Germany
168069.73,France
0.0,France
130538.77,Germany
132623.6,France
103465.02,France
126547.8,France
128262.72,France
169742.64,France
0.0,France
150795.81,Germany
129855.72,Spain
146098.43,Spain
0.0,France
0.0,France
65643.3,Germany
0.0,Spain
104584.16,France
0.0,France
99785.28,Germany
127655.22,Germany
0.0,France
101257.16,France
0.0,France
121313.88,France
0.0,Spain
81523.38,Germany
128252.66,France
0.0,France
0.0,France
0.0,France
0.0,Spain
0.0,France
0.0,Spain
0.0,Spain
0.0,France
145541.56,Germany
0.0,France
124601.58,Germany
115182.84,Germany
163789.49,France
65733.41,France
0.0,Spain
128486.11,Spain
109663.47,Spain
88324.31,Germany
146445.24,France
0.0,France
0.0,Spain
109949.05,Germany
78653.05,Spain
107850.82,Germany
83765.35,Germany
143773.07,France
116227.27,Germany
103471.52,Germany
0.0,France
137492.35,France
0.0,France
129829.59,France
146329.57,France
114027.7,Germany
146580.69,Germany
132122.42,Germany
81553.93,France
0.0,France
0.0,France
0.0,Spain
0.0,France
175214.71,Germany
125534.51,Germany
97705.99,France
126817.65,Germany
46870.43,France
0.0,Spain
120094.93,France
0.0,France
0.0,France
104356.94,Germany
147004.34,Germany
73023.17,Germany
173432.55,Spain
165679.92,France
104678.62,Spain
116973.26,France
0.0,France
126732.85,Germany
148481.09,France
137654.05,France
115315.04,Germany
99095.73,France
165610.41,Germany
0.0,France
161628.66,Spain
146605.27,France
113488.68,Germany
77002.2,France
0.0,Spain
0.0,France
0.0,Spain
182364.53,Spain
0.0,France
149364.58,France
127450.14,France
162278.32,Spain
152212.88,Spain
161993.89,Spain
131468.44,Spain
102980.44,Germany
143321.97,Germany
130404.92,Spain
0.0,France
87505.47,France
133634.02,France
151233.62,Spain
70263.83,Spain
0.0,France
57657.49,France
153572.31,Germany
134752.08,France
83132.09,Spain
0.0,France
134096.53,Germany
118100.59,France
76915.4,Germany
81576.75,Spain
0.0,Spain
118327.17,France
124857.69,Spain
90971.85,Germany
153147.75,France
65942.26,France
0.0,France
0.0,France
100912.19,Spain
0.0,France
0.0,France
0.0,France
124439.49,Germany
0.0,France
0.0,France
58781.76,France
159453.64,Spain
142721.52,Germany
167795.6,France
128345.69,France
165260.98,Spain
118233.81,Germany
0.0,France
0.0,Spain
143452.74,Germany
145018.49,France
82407.51,Germany
79460.98,Germany
0.0,Spain
126473.99,Spain
133537.1,Germany
164978.01,France
128029.72,Spain
97403.18,Spain
176845.41,France
0.0,Spain
81589.04,Spain
119507.58,Germany
0.0,Spain
94443.77,France
0.0,France
92199.84,France
0.0,Spain
135756.96,France
120633.42,France
134542.73,Germany
0.0,Spain
0.0,Spain
0.0,Spain
154344.49,France
0.0,France
189026.53,France
120764.08,France
97975.82,Germany
0.0,France
113270.2,Germany
0.0,Spain
124548.99,Germany
201696.07,France
0.0,Spain
114203.47,Germany
0.0,Spain
125437.64,Germany
0.0,France
64897.75,France
0.0,France
135555.66,Germany
107764.75,France
117307.44,France
73700.12,France
60603.4,Spain
40169.88,Spain
92041.87,Germany
130483.95,Germany
0.0,France
0.0,Spain
151097.28,France
67563.31,Spain
112808.18,France
0.0,France
86459.8,France
118633.08,France
159441.27,France
0.0,France
125212.65,Germany
88656.37,Spain
146033.62,France
120268.13,France
0.0,Spain
0.0,Spain
135070.58,Germany
0.0,France
0.0,Spain
122550.05,France
0.0,Spain
130306.49,France
0.0,France
90350.77,Spain
128747.69,France
126873.52,Spain
108424.19,France
0.0,France
84350.07,France
0.0,France
84958.6,Germany
99097.36,Germany
136622.55,Germany
156771.68,Germany
167658.33,Germany
0.0,Spain
109483.54,Germany
134504.78,Germany
114427.86,France
83888.54,Spain
110029.77,Germany
127523.75,Spain
139762.13,Germany
91611.12,Spain
109471.79,France
150500.64,France
101609.77,Germany
0.0,France
78892.23,France
82344.84,France
0.0,France
0.0,Spain
127706.33,France
124349.34,France
0.0,Spain
119336.29,Germany
0.0,France
104217.3,Germany
0.0,France
144757.02,Germany
0.0,Spain
0.0,France
0.0,France
0.0,France
100169.51,France
145731.83,France
110802.03,Spain
120392.99,Germany
135067.52,Germany
136556.44,Spain
0.0,France
99587.43,France
0.0,France
70731.07,Spain
109342.82,Germany
0.0,Spain
0.0,France
78247.31,France
117561.49,France
88980.32,France
0.0,Spain
103560.57,Germany
113308.84,France
0.0,Spain
63763.49,France
169988.35,France
180303.24,Germany
0.0,France
120656.86,Germany
61592.14,Germany
164701.68,France
80780.16,Spain
0.0,France
154221.37,Germany
0.0,France
101641.14,France
0.0,France
92786.66,France
131081.66,Germany
98014.74,France
0.0,Spain
97460.1,France
104077.19,France
0.0,Spain
0.0,France
0.0,France
93656.95,Spain
121345.88,Spain
141675.23,France
0.0,Spain
102365.49,Germany
0.0,Spain
0.0,Spain
0.0,France
101868.51,Germany
0.0,Spain
112392.45,France
106570.34,Germany
0.0,France
81947.76,France
144162.3,France
86350.87,Germany
158623.14,France
0.0,France
132403.56,Germany
0.0,France
134985.66,Germany
0.0,France
103772.45,France
133040.32,France
0.0,Spain
0.0,France
0.0,France
71460.67,Spain
133214.13,Spain
96558.66,France
93806.31,France
0.0,Spain
124043.8,France
131694.97,Germany
0.0,Spain
106266.8,France
0.0,Spain
0.0,France
139840.36,Spain
0.0,France
124098.54,Germany
145807.59,France
0.0,Spain
107508.93,France
0.0,France
145980.23,Germany
212778.2,France
152522.47,Germany
168964.77,Spain
0.0,France
0.0,France
98266.3,Spain
113000.92,France
137060.88,Germany
112146.12,Germany
129307.32,France
163975.09,Spain
0.0,Spain
158414.85,Germany
92072.68,Germany
88243.29,Spain
0.0,Spain
59486.31,France
0.0,Spain
0.0,Spain
0.0,France
119278.01,France
158741.43,France
140596.95,France
0.0,Spain
90432.92,Germany
104783.81,France
77992.97,Germany
110822.9,Germany
119624.6,Germany
109052.59,Germany
139129.44,Spain
152324.66,Germany
0.0,France
127480.58,Germany
115029.4,France
114005.78,France
116646.76,Germany
110864.38,Spain
156267.59,France
109528.28,France
102482.76,France
115563.71,Germany
0.0,France
95624.36,France
0.0,Spain
160376.61,France
37702.79,Germany
118273.83,France
131082.17,Germany
94456.0,France
0.0,France
0.0,Spain
93791.38,France
0.0,France
0.0,France
155973.13,France
89409.95,Germany
97854.37,Spain
0.0,France
60280.62,Spain
135216.8,Spain
124923.35,Germany
0.0,France
188614.07,Germany
62321.62,France
120782.7,Germany
115961.58,France
115062.61,France
160602.25,France
108825.34,France
166287.85,Germany
152663.77,France
80844.69,Germany
97001.36,Germany
0.0,France
122524.61,France
132292.63,France
0.0,France
91502.99,Germany
0.0,France
59385.98,Germany
0.0,France
97956.5,Germany
0.0,France
0.0,Spain
141223.68,France
151762.74,France
141749.74,Germany
75075.14,Spain
165686.11,France
0.0,France
0.0,Spain
0.0,France
0.0,France
92961.61,France
0.0,Spain
130812.91,Germany
107174.58,Germany
152677.48,Spain
132005.77,France
0.0,France
0.0,Spain
127305.5,France
0.0,France
0.0,Spain
0.0,France
170291.22,Germany
102562.23,Spain
111061.01,Spain
0.0,Spain
124379.14,France
0.0,France
57745.76,Germany
129293.74,Germany
0.0,France
150777.1,Germany
0.0,Spain
0.0,France
108632.48,Spain
153861.1,France
100374.58,France
0.0,France
61196.54,France
116891.72,Germany
133656.91,Germany
92911.52,France
119825.75,Spain
111852.84,France
106683.52,Germany
139022.24,Germany
148571.07,Germany
0.0,France
129776.72,France
0.0,France
0.0,Spain
0.0,France
0.0,France
114739.92,Spain
122545.65,Germany
0.0,France
131908.35,Germany
105722.69,Germany
0.0,Spain
0.0,Spain
0.0,Spain
82767.42,France
87842.98,France
133261.13,Spain
0.0,Spain
97925.11,France
0.0,France
140453.91,France
117356.19,Germany
0.0,Spain
137204.77,Spain
0.0,France
0.0,Spain
54098.18,Spain
0.0,Spain
113758.48,France
0.0,Spain
118636.92,France
0.0,France
95488.82,Germany
110829.52,France
144244.59,Germany
122021.92,Germany
0.0,France
0.0,France
0.0,Spain
85839.62,Germany
96974.97,France
148172.44,France
0.0,Spain
0.0,France
0.0,France
0.0,Spain
134766.85,Spain
123210.56,Germany
139887.01,Spain
149961.11,France
152880.97,Germany
108589.47,Germany
0.0,Spain
56674.48,Spain
0.0,Spain
0.0,Spain
105663.56,Germany
0.0,France
100683.54,Spain
0.0,France
139541.58,Germany
121801.72,Germany
112281.7,Germany
0.0,Spain
93499.82,Spain
132255.99,France
0.0,France
0.0,Spain
121973.28,France
99462.8,Germany
165878.76,Germany
117494.27,France
138577.34,Germany
0.0,Spain
107525.07,Spain
139224.92,France
121453.63,France
0.0,France
77354.37,Germany
0.0,France
79259.99,France
116295.29,France
0.0,Spain
74309.81,Germany
152797.9,Germany
133701.07,France
114430.18,Germany
127504.57,France
84113.41,Germany
101126.66,Spain
103564.83,Germany
0.0,Spain
168178.21,France
143903.11,Germany
129753.69,Germany
0.0,France
110641.18,France
166909.2,France
154139.45,France
97459.06,France
0.0,France
112088.04,Germany
0.0,France
0.0,France
141038.57,Spain
84468.67,Germany
118520.26,Spain
142663.46,France
118627.16,Germany
137523.02,Spain
110976.23,France
107283.4,France
0.0,France
124314.45,France
95858.37,France
0.0,France
0.0,France
0.0,Spain
117707.18,France
135289.33,Spain
174060.46,France
114446.84,Germany
0.0,Spain
157848.53,France
0.0,France
0.0,Spain
108071.36,Germany
14262.8,Spain
102749.72,Spain
161757.87,Spain
0.0,France
95698.79,Germany
124969.13,France
93960.35,Germany
88308.87,France
0.0,Spain
0.0,France
112935.87,France
98567.1,Spain
180530.51,France
140931.57,France
148913.72,Germany
0.0,France
0.0,France
0.0,France
115335.32,France
0.0,France
0.0,France
134678.13,Germany
0.0,France
90547.48,Germany
103324.78,France
114590.58,France
91286.51,Germany
163340.12,Spain
150900.29,Spain
124577.33,Spain
